tag,child,type,repeat,translation,note
abstract,,,,,
,@id,CDATA,,,
,@label,CDATA,,,
,CDATA,,,,
,emph,emph,,,
,,,,,
addressline,,,,,
,CDATA,,,,
,extptr,,,,
,,,,,
archdesc,,,,archival description,
,@level,CDATA,,,
,accessrestrict,formattednotewithhead,,access restriction note,
,accruals,formattednotewithhead,,,
,acqinfo,formattednotewithhead,,acquisition info note,
,altformavailable,formattednotewithhead,,,
,appraisal,formattednotewithhead,,,
,arrangement,formattednotewithhead,,arrangement note,
,bibliography,bibliography,,,
,bioghist,formattednotewithhead,,biographical and historical notes,
,controlaccess,controlaccess,,control access terms,
,custodhist,formattednotewithhead,,custodial history,
,did,did,,description identifier,
,dsc,dsc,,description of subordinate components,
,odd,formattednotewithhead,,,
,phystech,formattednotewithhead,,Physical Characteristics and Technical Requirements,
,prefercite,formattednotewithhead,,preferred citation note,
,processinfo,formattednotewithhead,,processing info note,
,relatedmaterial,formattednotewithhead,,,
,scopecontent,formattednotewithhead,,scope and content note,
,seperatedmaterial,formattednotewithhead,,,
,userestrict,formattednotewithhead,,use restriction note,
,,,,,
bibliography,,,,,
,@id,,,,
,head,head,,,
,bibref,bibref,,,
,,,,,
bibref,,,,,
,emph,,,,
,CDATA,,,,
,,,,,
c,,,,Component,
,@id,CDATA,,,
,@level,CDATA,,,c tags can be nested up to 12 levels deep
,@otherlevel,CDATA,,,
,accessrestrict,formattednotewithhead,,,
,accruals,formattednotewithhead,,,
,appraisal,formattednotewithhead,,,
,arrangment,formattednotewithhead,,,
,bioghist,formattednotewithhead,,,
,c,c,,,
,controlaccess,controlaccess,,,
,custodhist,formattednotewithhead,,,
,did,did,,,
,phystech,formattednotewithhead,,,
,prefercite,formattednotewithhead,,,
,processinfo,formattednotewithhead,,,
,relatedmaterial,formattednotewithhead,,,
,scopecontent,formattednotewithhead,,,
,userestrict,formattednotewithhead,,,
,,,,,
change,,,,,
,date,CDATA,,,
,item,item,,,
,CDATA,,,,
,,,,,
controlaccess,,,,,
,corpname,CDATA,,,
,famname,CDATA,,,
,genreform,CDATA,,,
,geogname,CDATA,,,
,occupation,CDATA,,,
,persname,CDATA,,,
,subject,CDATA,,,
,,,,,
creation,,,,,
,date,CDATA,,,
,CDATA,,,,
,,,,,
did,,,,,
,abstract,abstract,,,
,langmaterial,langmaterial,,,
,origination,origination,,,
,physdesc,physdesc,,,
,physloc,physloc,,,
,repository,repository,,,
,unitdate,unitdate,,,
,unitid,unitid,,,
,unittitle,unittitle,,,
,,,,,
dsc,,,,,
,c,c,,,
,head,head,,,
,p,p,,,
,,,,,
ead,,,,,
,eadheader,eadheader,,,
,archdesc,arcdesc,,,
,,,,,
eadheader,,,,,
,eadid,eadid,,,
,filedesc,filedesc,,,
,profiledesc,profiledesc,,,
,revisiondesc,revisiondesc,,,
,,,,,
eadid,,,,,
,@countrycode,CDATA,,,
,@mainagency,CDATA,,,
,@url,CDATA,,,
,CDATA,,,,
,,,,,
emph,,,,emphasis,
,@render,CDATA,,,
,CDATA,,,,
,,,,,
extent,,,,,
,CDATA,,,,
,,,,,
extptr,,,,,
,@href,CDATA,,,
,@show,CDATA,,,
,@title,CDATA,,,
,@type,CDATA,,,
,,,,,
filedesc,,,,,
,notestmt,formattednotewithhead,,,
,publicationstmt,publicationstmt,,,
,titlestmt,titlestmt,,,
,,,,,
formattednotewithhead,,,,,
,@id,CDATA,,,
,head,head,,,
,p,p,,,
,,,,,
head,,,,,
,emph,emph,,,
,extptr,extptr,,,
,CDATA,,,,
,,,,,
item,,,,,
,CDATA,,,,
,,,,,
langmaterial,,,,,
,@id,,,,
,language,,,,
,CDATA,,,,
,,,,,
language,,,,,
,@langcode,,,,
,@scriptcode,CDATA,,,
,CDATA,language,,,
,,,,,
,,,,,
langusage,,,,,
,@langcode,CDATA,,,
,,,,,
lb,,,,line break,used in CDATA to specify a line break -- convert to <br>
,,,,,
origination,,,,,
,@label,string,,,
,persname,string,,,
,corpname,string,,,
,,,,,
p,,,,,
,@id,CDATA,,,
,emph,emph,,,
,lb,lb,,,
,CDATA,,,,
,,,,,
physdesc,,,,,
,emph,emph,,,
,extent,extent,,,
,CDATA,,,,
,,,,,
physloc,,,,,
,@id,CDATA,,,
,CDATA,,,,
,,,,,
profiledesc,,,,,
,creation,CDATA,,,
,descrules,CDATA,,,
,langusage,langusage,,,
,,,,,
publicationstmt,,,,,
,address,addressline,,,
,p,p,,,
,publisher,CDATA,,,
,,,,,
repository,,,,,
,corpname,corpname,,,
,,,,,
revisiondesc,,,,,
,change,change,,,
,,,,,
title,,,,,
,@render,,,,
,CDATA,,,,
,,,,,
,,,,,
titleproper,,,,,
,CDATA,,,,
,emph,,,,
,lb,,,,
,num,CDATA,,,
,,,,,
titlestmt,,,,,
,titleproper,titleproper,,,
,author,CDATA,,,
,sponsor,CDATA,,,
,,,,,
unitdate,,,,,
,@normal,CDATA,,,
,@type,CDATA,,,
,CDATA,,,,
,,,,,
unitid,,,,,
,CDATA,,,,
,,,,,
unittitle,,,,,
,emph,emph,,,
,title,title,,,
,CDATA,,,,
